COUNTRY_REGION,Total_Cases,Total_Deaths,Population_2020,Area_km2,Cases_per_Million,Deaths_per_Million,CFR_%,Cases_per_km2,Deaths_per_km2,Population_Density_Calc
Sudan,21386.0,1347.0,44440486,1886068,481.2278605594007,30.310199577925406,6.298513045917891,0.011338933696982294,0.0007141842181724095,23.562504639281297
Belgium,608001.0,17951.0,11561717,30528,52587.43143427572,1552.6240609418135,2.952462249239722,19.91617531446541,0.5880175576519916,378.7250065513627
Benin,3090.0,44.0,12643123,112622,244.40164032256905,3.4801528071822125,1.423948220064725,0.02743691285894408,0.00039068743229564386,112.26157411518176
Brazil,6901952.0,181402.0,213196304,8515767,32373.694433276854,850.8684090508436,2.628270958708493,0.8104909399235559,0.02130189799697432,25.035478777190594
Burkina Faso,4030.0,71.0,21522626,272967,187.24480925329465,3.29885395954936,1.7617866004962779,0.014763689383698396,0.00026010470130088985,78.84698883015163
Central African Republic,4936.0,63.0,5343020,622984,923.8221080961703,11.791084442880619,1.2763371150729337,0.007923156935009567,0.00010112619264700217,8.576496346615643
Chile,571919.0,15886.0,19300315,756102,29632.625166998572,823.0953743501078,2.7776660680970555,0.7564045591732332,0.021010392777694016,25.526073201763783
Cuba,9423.0,137.0,11300698,109884,833.84229894472,12.123144959718417,1.4538894195054652,0.0857540679261767,0.0012467693203742128,102.84206981908194
Czechia,581079.0,9609.0,10530953,78865,55178.19707295247,912.4530325033261,1.6536477828315945,7.368021302225322,0.1218411209028086,133.53138908260954
Denmark,109758.0,941.0,5825641,43094,18840.501843488124,161.52728944334194,0.8573406949835092,2.54694389010071,0.021835986448229452,135.18450364319858
Djibouti,5728.0,61.0,1090156,23200,5254.293880875764,55.95529447161691,1.0649441340782122,0.24689655172413794,0.0026293103448275863,46.98948275862069
Ecuador,202110.0,13875.0,17588595,276841,11490.969005767658,788.863465217091,6.8650734748404325,0.7300580477602667,0.050119021387727974,63.533201368294435
Egypt,121575.0,6920.0,107465134,1002450,1131.2971516882862,64.39297791225944,5.691959695661115,0.12127786922040999,0.006903087435782333,107.20248790463364
El Salvador,41880.0,1205.0,6292731,21041,6655.297993828117,191.49078516148236,2.877268385864374,1.9903996958319472,0.05726914120051328,299.0699586521553
Equatorial Guinea,5185.0,85.0,1596049,28051,3248.6471280017095,53.25651029510999,1.639344262295082,0.18484189511960358,0.0030301950019607144,56.89811414922819
Eritrea,711.0,0.0,3555868,117600,199.95117929011988,0.0,0.0,0.006045918367346938,0.0,30.236972789115647
Fiji,46.0,2.0,920422,18272,49.97707573265306,2.172916336202307,4.3478260869565215,0.0025175131348511384,0.00010945709281961471,50.3733581436077
Finland,30810.0,453.0,5529468,338424,5571.964608530151,81.9246987232768,1.4703018500486855,0.09103964257854052,0.0013385575491099923,16.33887667541309
Gabon,9330.0,63.0,2292573,267668,4069.6632124691337,27.48004098451827,0.67524115755627,0.03485661341662059,0.00023536619991930302,8.564987222977718
Georgia,191063.0,1839.0,3765912,69700,50734.85519576666,488.3279269404065,0.9625097480935608,2.741219512195122,0.026384505021520805,54.03030129124821
Gibraltar,1075.0,5.0,32709,6,32865.57216668196,152.86312635666025,0.46511627906976744,179.16666666666666,0.8333333333333334,5451.5
Greece,124534.0,3625.0,10512232,131990,11846.580250511975,344.8363772793447,2.910851654969727,0.9435108720357603,0.027464201833472233,79.64415486021669
Greenland,19.0,0.0,56026,2166086,339.1282618784136,0.0,0.0,8.771581553086997e-06,0.0,0.02586508568911853
Guernsey,289.0,13.0,62794,78,4602.350543045513,207.0261489951269,4.498269896193772,3.7051282051282053,0.16666666666666666,805.0512820512821
Guinea-Bissau,2444.0,44.0,2015828,36125,1212.4050266193344,21.827259071706514,1.800327332242226,0.06765397923875432,0.001217993079584775,55.80146712802768
Guyana,5920.0,155.0,797202,214969,7425.972338253039,194.4300189914225,2.6182432432432434,0.02753885443947732,0.0007210341956282068,3.7084509859561146
Haiti,9565.0,234.0,11306801,27750,845.9510342492099,20.6955088357883,2.4464192368008364,0.34468468468468466,0.008432432432432432,407.4522882882883
Honduras,114359.0,2975.0,10121763,112492,11298.328166743284,293.92112816709897,2.6014568158168574,1.016596735767877,0.02644632507200512,89.97762507556092
Hungary,283870.0,7130.0,9750573,93028,29113.160836804156,731.2390769239921,2.5117131081128683,3.0514468762093134,0.07664359117684998,104.81331427097219
Iceland,5557.0,28.0,366669,103000,15155.35810226662,76.36315041631553,0.5038689940615441,0.05395145631067961,0.00027184466019417475,3.559893203883495
"Iran, Islamic Republic of",1108269.0,52196.0,87290193,1648195,12696.374723332323,597.9594981534754,4.709686908142338,0.6724137617211555,0.031668582904328675,52.96108348830084
Ireland,76185.0,2124.0,4946119,70273,15402.985654004684,429.4275976780987,2.787950383933845,1.0841290396026924,0.03022497972194157,70.38434391587096
Israel,357859.0,2999.0,8757489,20770,40863.19720184633,342.44975928602366,0.8380395630681359,17.22961001444391,0.14439094848338951,421.6412614347617
Jersey,1779.0,32.0,108319,116,16423.711444898865,295.42370221290815,1.7987633501967397,15.336206896551724,0.27586206896551724,933.7844827586207
Kazakhstan,186277.0,2552.0,18979243,2724900,9814.77501499928,134.46268642010642,1.370002737858136,0.06836104077213842,0.0009365481302066131,6.9651154170795255
Kenya,91892.0,1587.0,51985780,580367,1767.6372269493695,30.527578887918967,1.7270273799677882,0.1583342953682756,0.002734476632889189,89.5739764666151
Lao People's Democratic Republic,41.0,0.0,7319399,236800,5.6015528050868655,0.0,0.0,0.00017314189189189189,0.0,30.909624155405407
Jamaica,11710.0,273.0,2820436,10991,4151.840353760908,96.79354539510912,2.33134073441503,1.0654171594941315,0.024838504230734238,256.61322900555
Lebanon,146520.0,1200.0,5662923,10452,25873.563882115297,211.90470009922436,0.819000819000819,14.01836969001148,0.1148105625717566,541.802812858783
Lesotho,2250.0,44.0,2254100,30355,998.1810922319329,19.519985803646687,1.9555555555555555,0.07412287926206555,0.0014495140833470598,74.257947619832
Liberia,1676.0,83.0,5087584,111369,329.4294502066207,16.314226949373218,4.952267303102626,0.01504907110596306,0.0007452702278012732,45.68222754985678
Libya,90779.0,1299.0,6653942,1759540,13642.890184495147,195.2226214174996,1.4309476861388648,0.05159246166611728,0.000738261136433386,3.7816372460984122
Lithuania,95021.0,825.0,2820267,65300,33692.200064745644,292.52549492654424,0.8682291282979551,1.455145482388974,0.012633996937212864,43.189387442572745
Malawi,6066.0,187.0,19377061,118484,313.0505704657688,9.650586329887695,3.082756346851302,0.051196786063941124,0.001578272171770028,163.54158367374498
Malaysia,83475.0,415.0,33199993,330803,2514.3077590407925,12.500002635542725,0.4971548367774783,0.2523405168635109,0.0012545230847362328,100.36182561826827
Maldives,13368.0,48.0,514438,300,25985.638696985836,93.3057044775075,0.3590664272890485,44.56,0.16,1714.7933333333333
Malta,11101.0,166.0,515357,316,21540.407911408984,322.1068113948195,1.4953607783082605,35.129746835443036,0.5253164556962026,1630.876582278481
Mauritania,10780.0,222.0,4498604,1030700,2396.29894073806,49.34864237883575,2.0593692022263452,0.010458911419423693,0.0002153876006597458,4.36461045891142
Mauritius,515.0,10.0,1297828,2040,396.8168355128723,7.705181272094608,1.9417475728155338,0.25245098039215685,0.004901960784313725,636.1901960784314
Mexico,1250044.0,113953.0,125998302,1964375,9921.117825857684,904.4010767700663,9.115919119646989,0.6363571110404073,0.0580097995545657,64.14167457842825
"Moldova, Republic of",126518.0,2572.0,3084847,33846,41012.73093933021,833.7528571109037,2.032912312872477,3.7380488093127697,0.0759912545057023,91.14362110736867
Mongolia,912.0,0.0,3294335,1564110,276.8388764348495,0.0,0.0,0.0005830791951972687,0.0,2.1062041672260903
Montenegro,41426.0,582.0,629048,13812,65855.06988337933,925.2076153171141,1.4049147878144161,2.999275991891109,0.0421372719374457,45.54358528815523
Morocco,399609.0,6624.0,36688772,446550,10891.860866861392,180.54569937636506,1.6576203238665796,0.8948807524353376,0.014833725226738327,82.16050162355839
Netherlands,612746.0,10034.0,17434557,41850,35145.48720681575,575.523656838542,1.6375463895317146,14.641481481481481,0.2397610513739546,416.59634408602153
Niger,2258.0,80.0,24333639,1267000,92.7933549108705,3.2876299348404077,3.54295837023915,0.0017821625887924231,6.314127861089187e-05,19.205713496448304
Oman,126240.0,1471.0,4543399,309500,27785.365097804526,323.76641364757967,1.1652408111533588,0.4078836833602585,0.004752827140549273,14.679802907915994
Pakistan,440787.0,8832.0,227196741,881912,1940.111456088184,38.8737970497561,2.003688856522538,0.4998083709032194,0.010014604631754642,257.6183802919112
Panama,193007.0,3356.0,4294396,75417,44943.9222652033,781.4835893103477,1.7387970384493827,2.5591975284087143,0.044499250832040524,56.94201572589734
Peru,984973.0,36677.0,33304756,1285216,29574.544848789767,1101.2541271883213,3.7236553692334717,0.7663871287005453,0.02853761546697209,25.913742125837214
Puerto Rico,107158.0,1272.0,3271564,8870,32754.364579143185,388.80486519597355,1.1870322327777674,12.080947012401353,0.14340473506200677,368.8347237880496
Qatar,140961.0,240.0,2760385,11586,51065.70279145844,86.94439362625141,0.17025985910996658,12.16649404453651,0.020714655618850338,238.25176937683412
Romania,556335.0,13385.0,19442038,238391,28615.05568500586,688.4566319642004,2.4059244879434156,2.3337080678381317,0.05614725388122874,81.55525166638002
Rwanda,6659.0,56.0,13146362,26338,506.52796568358605,4.25973360538832,0.8409671121790058,0.2528286126509226,0.0021262054825727087,499.14048143367
Sao Tome and Principe,1009.0,17.0,218641,964,4614.870952840501,77.75302893784789,1.6848364717542121,1.0466804979253113,0.017634854771784232,226.80601659751036
Saint Vincent and the Grenadines,98.0,0.0,104632,389,936.6159492315926,0.0,0.0,0.2519280205655527,0.0,268.97686375321337
Saudi Arabia,359888.0,6048.0,35997107,2149690,9997.692314551834,168.01350175168244,1.6805228293246786,0.16741390619112523,0.002813428913006061,16.745254897217738
Sierra Leone,2440.0,75.0,8233969,71740,296.33339644586954,9.108608497311565,3.0737704918032787,0.034011708948982436,0.001045441873431837,114.77514636186228
Singapore,58320.0,29.0,5909869,710,9868.2390421852,4.907046162952174,0.04972565157750343,82.14084507042253,0.04084507042253521,8323.759154929578
Slovakia,132984.0,1175.0,5456681,49037,24370.85840275435,215.33236045867443,0.8835649401431752,2.711911413830373,0.02396149846034627,111.27681138731978
South Africa,860964.0,23276.0,58801927,1221037,14641.765056441092,395.8373677107555,2.7034812140809605,0.7051088541952455,0.019062485411989974,48.157367057673106
"Korea, Republic of",43484.0,587.0,51844690,100210,838.7358473934361,11.322278134944968,1.3499218103210375,0.43392874962578587,0.005857698832451851,517.360443069554
South Sudan,3206.0,62.0,10606227,619745,302.27525773302796,5.845622576246954,1.9338739862757333,0.005173095386005535,0.00010004114595519125,17.11385650549823
Spain,1730575.0,47624.0,47363807,505992,36537.92018872132,1005.4934984428088,2.7519177152102623,3.420162769371848,0.0941200651393698,93.60584159433351
Suriname,5353.0,117.0,607065,163820,8817.836640227983,192.73059721776087,2.1856902671399214,0.032676107923330484,0.0007141985105603711,3.7056830667806127
Sweden,320098.0,7514.0,10368969,450295,30870.76448969999,724.6622108716884,2.347406106879768,0.7108628787794667,0.016686838628010528,23.02705781765287
Timor-Leste,31.0,0.0,1299995,14874,23.846245562482935,0.0,0.0,0.002084173725964771,0.0,87.40049751243781
United Arab Emirates,184949.0,617.0,9287289,83600,19914.207472169757,66.43488751130711,0.3336054804297401,2.212308612440191,0.007380382775119617,111.09197368421053
United_Kingdom,1849403.0,64170.0,67059474,242900,27578.549154739863,956.9117705874042,3.4697683522736797,7.613845203787567,0.26418279127212846,276.07852614244547
